column,missing_count,missing_percentage
orig_projected_additional_accrued_interest,2252242,99.63
hardship_amount,2250055,99.53
hardship_dpd,2250055,99.53
hardship_type,2250055,99.53
hardship_reason,2250055,99.53
hardship_status,2250055,99.53
deferral_term,2250055,99.53
hardship_start_date,2250055,99.53
hardship_end_date,2250055,99.53
payment_plan_start_date,2250055,99.53
hardship_last_payment_amount,2250055,99.53
hardship_payoff_balance_amount,2250055,99.53
hardship_loan_status,2250055,99.53
hardship_length,2250055,99.53
settlement_term,2227612,98.54
settlement_date,2227612,98.54
debt_settlement_flag_date,2227612,98.54
settlement_amount,2227612,98.54
settlement_percentage,2227612,98.54
settlement_status,2227612,98.54
sec_app_mths_since_last_major_derog,2224726,98.41
sec_app_revol_util,2154484,95.30
revol_bal_joint,2152648,95.22
sec_app_open_act_il,2152647,95.22
sec_app_open_acc,2152647,95.22
sec_app_inq_last_6mths,2152647,95.22
sec_app_mort_acc,2152647,95.22
sec_app_earliest_cr_line,2152647,95.22
sec_app_collections_12_mths_ex_med,2152647,95.22
sec_app_chargeoff_within_12_mths,2152647,95.22
sec_app_num_rev_accts,2152647,95.22
verification_status_joint,2144938,94.88
dti_joint,2139962,94.66
joint_annual_income,2139958,94.66
mths_since_last_record,1901512,84.11
mths_since_recent_bc_dlq,1740967,77.01
mths_since_last_major_derog,1679893,74.31
mths_since_recent_revol_delinq,1520309,67.25
next_pymnt_d,1303607,57.66
mths_since_last_delinq,1158502,51.25
il_util,1068850,47.28
mths_since_rcnt_il,909924,40.25
all_util,866348,38.32
total_cu_tl,866130,38.31
open_acc_6m,866130,38.31
inq_last_12m,866130,38.31
open_act_il,866129,38.31
open_il_12m,866129,38.31
open_il_24m,866129,38.31
total_bal_il,866129,38.31
open_rv_12m,866129,38.31
open_rv_24m,866129,38.31
max_bal_bc,866129,38.31
inq_fi,866129,38.31
mths_since_recent_inq,295435,13.07
num_tl_120dpd_2m,153657,6.80
mo_sin_old_il_acct,139071,6.15
bc_util,76071,3.36
percent_bc_gt_75,75379,3.33
bc_open_to_buy,74935,3.31
mths_since_recent_bc,73412,3.25
pct_tl_nvr_dlq,70431,3.12
avg_cur_bal,70346,3.11
mo_sin_rcnt_rev_tl_op,70277,3.11
num_rev_accts,70277,3.11
mo_sin_old_rev_tl_op,70277,3.11
total_il_high_credit_limit,70276,3.11
tot_hi_cred_lim,70276,3.11
num_accts_ever_120_pd,70276,3.11
num_bc_tl,70276,3.11
num_op_rev_tl,70276,3.11
total_rev_hi_lim,70276,3.11
mo_sin_rcnt_tl,70276,3.11
num_actv_bc_tl,70276,3.11
num_actv_rev_tl,70276,3.11
tot_coll_amt,70276,3.11
num_il_tl,70276,3.11
tot_cur_bal,70276,3.11
num_rev_tl_bal_gt_0,70276,3.11
num_tl_30dpd,70276,3.11
num_tl_90g_dpd_24m,70276,3.11
num_tl_op_past_12m,70276,3.11
num_sats,58590,2.59
num_bc_sats,58590,2.59
total_bc_limit,50030,2.21
mort_acc,50030,2.21
total_bal_ex_mort,50030,2.21
acc_open_past_24mths,50030,2.21
title,23326,1.03
last_pymnt_d,2426,0.11
revol_util,1802,0.08
dti,1711,0.08
pub_rec_bankruptcies,1365,0.06
collections_12_mths_ex_med,145,0.01
chargeoff_within_12_mths,145,0.01
tax_liens,105,0.00
last_credit_pull_d,73,0.00
inq_last_6mths,30,0.00
acc_now_delinq,29,0.00
total_acc,29,0.00
pub_rec,29,0.00
open_acc,29,0.00
earliest_cr_line,29,0.00
delinq_2yrs,29,0.00
delinq_amnt,29,0.00
zip_code,1,0.00
